"site","mean_MMN_delay","mean_FACE_delay","mean_VEP_delay"
"ARK",1.65966206762208,12.005852535367,11.8827447295189
"BCH",2.89200777342018,17.2159117702283,17.3134206292721
"CCH",2.29830276975031,11.1639233659286,11.169221252203
"CHL",1.91953621849057,23.3940342441201,23.2466732939849
"COM",2.10232245909669,11.7147118193314,11.7263282564553
"EUY",2.49595464429887,11.3412834689098,21.7510709682336
"JHU",2.18559067690748,20.4059301494536,20.5790810286999
"NWU",2.42278553091281,13.3762959390879,13.3716585114598
"NYU",1.09279408179659,23.5923584550619,24.0375716239214
"OHS",2.39044512416474,13.2331307977438,13.4701374918222
"OSU",2.54637065868374,9.11329986339869,9.03435051441193
"PHI",2.43659286216639,17.8922787308693,17.7841186523438
"PUP",2.60106524948257,13.2165085524321,13.4662922937423
"STL",2.16575910458863,15.9234954044223,15.7619928941131
"UAB",1.93505094147872,15.3058413416147,15.2611825615168
"UAM",2.68619513136336,11.3903590948275,NA
"UCS",2.30399782504058,12.4826756863057,12.471235384888
"UMD",2.20793658716633,8.5494303707955,8.48891428456857
"UMN",3.49750879223155,11.4899942917483,11.5979196769851
"UNC",2.38436619113053,22.5957300513983,22.750535979867
"UNM",2.40314012158727,26.1265933513641,26.9076861441135
"UVM",2.6237141380067,15.7982697710395,16.0706439055502
"VAN",2.99481071875554,14.7008089630236,14.9254633912018
"VAT",2.69589078090494,12.5759929418564,12.6126352697611
"WIS",2.1411542030493,17.4530931466,17.5922631751746
